course_id,course_name,faculty_id,day,start_time,end_time,room,credits
C001,Introduction to Programming,F001,Monday,09:00,10:30,C204,3
C002,Data Structures,F001,Tuesday,10:00,11:30,C208,3
C003,Advanced Algorithms,F001,Friday,10:00,11:30,C301,3
C004,Linear Algebra,F002,Monday,14:00,15:30,C304,3
C005,Number Theory,F002,Tuesday,14:00,15:30,C308,3
C006,Calculus I,F008,Wednesday,09:00,10:30,C204,3
C007,Calculus II,F008,Thursday,10:00,11:30,C208,3
C008,Statistics,F002,Friday,14:00,15:30,C301,3
C009,Quantum Mechanics,F003,Monday,08:00,09:30,C206,4
C010,Electronics Lab,F006,Tuesday,08:00,10:00,C207,2
C011,Mechanics,F009,Wednesday,08:00,09:30,C306,3
C012,Data Science Fundamentals,F004,Monday,11:00,12:30,C307,3
C013,Machine Learning,F004,Wednesday,11:00,12:30,C204,3
C014,Software Engineering,F007,Thursday,09:00,10:30,C208,3
C015,Computer Networks,F010,Friday,11:00,12:30,C304,3
C016,Database Systems,F007,Tuesday,11:00,12:30,C308,3
C017,Algebra I,F005,Wednesday,14:00,15:30,C301,3
C018,Algebra II,F005,Thursday,14:00,15:30,C204,3
C019,Physics Lab,F003,Friday,08:00,10:00,C206,2
C020,Advanced Programming,F001,Thursday,11:00,12:30,C208,3
